fin_coa_cd|org_cd|org_rtng_mdl_nm|acct_dlgt_unvl_id|fdoc_typ_cd|obj_id|ver_nbr|fdoc_aprv_from_amt|fdoc_aprv_to_amt|acct_dlgt_prmrt_cd|acct_dlgt_start_dt|row_actv_ind|
BL|GEOL|DELEGATE|1504703229|IB|11400DC3FBEF041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|ND|11400DC3FBF0041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|PCDO|11400DC3FC03041EE043814FD881041E|1.0|0.0|0.0|N|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|PE|11400DC3FBF1041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|SACC|11400DC3FBF5041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|SACD|11400DC3FBF9041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|SOBJ|11400DC3FBF6041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|ST|11400DC3FBFA041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|1504703229|TF|11400DC3FBF2041EE043814FD881041E|1.0|0.0|0.0|Y|20031101000000|Y|
BL|GEOL|DELEGATE|3514105019|ERD|11400DC3FC01041EE043814FD881041E|1.0|0.0|0.0|N|20031101000000|Y|
BL|GEOL|DELEGATE|4452809121|ERD|11400DC3FC02041EE043814FD881041E|1.0|0.0|0.0|N|20031101000000|Y|
BL|GNDR|ASC DELEGA|4040409372|KFS|11400DC3F499041EE043814FD881041E|1.0|||N|19990129000000|Y|
BL|GNDR|NEW ASC|4040409372|KFS|11400DC3F49A041EE043814FD881041E|1.0|||N|19990129000000|Y|
BL|HPER|RECS|1612700914|KFS|11400DC3F49B041EE043814FD881041E|1.0|0.0|0.0|N|19970326000000|Y|
BL|INFO|CSOBRIEN|2783907167|A21|11400DC3FEFD041EE043814FD881041E|1.0|0.0|0.0|Y|20030709000000|Y|
BL|INFO|CSOBRIEN|2783907167|BA|11400DC3FEFA041EE043814FD881041E|1.0|0.0|0.0|N|20030709000000|Y|
